Area,Genero,Cantidad_Empleados,Salario_Promedio
Combustibles-Produccion,Femenino,158,6848.94
Combustibles-Produccion,Masculino,1722,8178.64
Combustibles-Produccion,Desconocido,12,8063.04
Litio-exploracion y financiacion,Femenino,7,3359.93
Litio-exploracion y financiacion,Masculino,55,3365.91
Litio-Produccion,Femenino,33,6342.41
Litio-Produccion,Masculino,233,6448.83
Litio-Produccion,Desconocido,4,4230.59
Metaliferos-exploracion y financiacion,Femenino,4,6972.98
Metaliferos-exploracion y financiacion,Masculino,22,5374.72
Metaliferos-Produccion,Femenino,674,4824.5
Metaliferos-Produccion,Masculino,7534,5495.68
Metaliferos-Produccion,Desconocido,42,5209.8
Minerales no clasificados previamente,Femenino,261,3402.59
Minerales no clasificados previamente,Masculino,2995,2860.46
Minerales no clasificados previamente,Desconocido,20,2904.99
No metaliferos,Femenino,226,2898.77
No metaliferos,Masculino,1906,2799.24
No metaliferos,Desconocido,19,2278.96
Rocas de aplicacion,Femenino,219,2295.27
Rocas de aplicacion,Masculino,3584,3051.74
Rocas de aplicacion,Desconocido,21,3209.21
Servicios mineros y actividades relacionadas,Femenino,159,4191.83
Servicios mineros y actividades relacionadas,Masculino,3645,4138.4
Servicios mineros y actividades relacionadas,Desconocido,18,3840.35
Combustibles-Produccion,Femenino,157,8560.19
Combustibles-Produccion,Masculino,1715,10232.13
Combustibles-Produccion,Desconocido,12,10118.16
Litio-exploracion y financiacion,Femenino,7,5740.18
Litio-exploracion y financiacion,Masculino,68,5271.95
Litio-Produccion,Femenino,38,6581.27
Litio-Produccion,Masculino,236,6813.49
Litio-Produccion,Desconocido,4,4820.26
Metaliferos-exploracion y financiacion,Femenino,4,8098.4
Metaliferos-exploracion y financiacion,Masculino,25,6110.2
Metaliferos-Produccion,Femenino,676,6281.89
Metaliferos-Produccion,Masculino,7726,7176.15
Metaliferos-Produccion,Desconocido,44,6953.57
Minerales no clasificados previamente,Femenino,263,4154.27
Minerales no clasificados previamente,Masculino,3109,3719.98
Minerales no clasificados previamente,Desconocido,20,3803.06
No metaliferos,Femenino,232,3856.95
No metaliferos,Masculino,1978,3782.93
No metaliferos,Desconocido,19,2999.49
Rocas de aplicacion,Femenino,223,2779.31
Rocas de aplicacion,Masculino,3525,4084.1
Rocas de aplicacion,Desconocido,20,3819.98
Servicios mineros y actividades relacionadas,Femenino,172,5114.11
Servicios mineros y actividades relacionadas,Masculino,3777,5027.47
Servicios mineros y actividades relacionadas,Desconocido,19,4552.46
Combustibles-Produccion,Femenino,156,9587.85
Combustibles-Produccion,Masculino,1710,10409.31
Combustibles-Produccion,Desconocido,12,10533.71
Litio-exploracion y financiacion,Femenino,8,5161.87
Litio-exploracion y financiacion,Masculino,75,4844.73
Litio-Produccion,Femenino,39,6411.41
Litio-Produccion,Masculino,242,6409.72
Litio-Produccion,Desconocido,3,5086.6
Metaliferos-exploracion y financiacion,Femenino,4,8106.15
Metaliferos-exploracion y financiacion,Masculino,29,5560.04
Metaliferos-Produccion,Femenino,685,5914.39
Metaliferos-Produccion,Masculino,7956,6615.49
Metaliferos-Produccion,Desconocido,49,6567.17
Minerales no clasificados previamente,Femenino,286,4033.71
Minerales no clasificados previamente,Masculino,3261,3723.98
Minerales no clasificados previamente,Desconocido,19,3625.12
No metaliferos,Femenino,205,3946.73
No metaliferos,Masculino,1854,3664.76
No metaliferos,Desconocido,17,2988.13
Rocas de aplicacion,Femenino,223,2766.72
Rocas de aplicacion,Masculino,3508,4142.37
Rocas de aplicacion,Desconocido,19,3880.19
Servicios mineros y actividades relacionadas,Femenino,180,4884.67
Servicios mineros y actividades relacionadas,Masculino,3905,4775.45
Servicios mineros y actividades relacionadas,Desconocido,22,4055.11
Combustibles-Produccion,Femenino,157,10258.12
Combustibles-Produccion,Masculino,1712,12214.27
Combustibles-Produccion,Desconocido,12,12399.49
Litio-exploracion y financiacion,Femenino,9,5829.89
Litio-exploracion y financiacion,Masculino,83,6105.73
Litio-Produccion,Femenino,44,7940.0
Litio-Produccion,Masculino,290,7838.17
